hit_rate: 0.268398268398
detections_dat: classifiers/scheme_8/detections.dat
info_dat: scripts/info.dat
img: n04409515_13007.jpg, tp:   0.00, fp:  64.00, tp%: 0.00
img: n03742019_5687.jpg , tp:   0.00, fp:  27.00, tp%: 0.00
img: n02799071_10990.jpg, tp:   2.00, fp: 120.00, tp%: 0.02
img: n04540053_1253.jpg , tp:   0.00, fp:  61.00, tp%: 0.00
img: n03742019_6967.jpg , tp:   0.00, fp:   4.00, tp%: 0.00
img: n03134739_3564.jpg , tp:   1.00, fp:  68.00, tp%: 0.01
img: n02802426_5016.jpg , tp:   1.00, fp:  76.00, tp%: 0.01
img: n03942813_4693.jpg , tp:   0.00, fp:  45.00, tp%: 0.00
img: n02799071_25420.jpg, tp:   1.00, fp: 148.00, tp%: 0.01
img: n04540053_4301.jpg , tp:   0.00, fp:  56.00, tp%: 0.00
img: n03267113_7661.jpg , tp:   0.00, fp:  49.00, tp%: 0.00
img: n04540053_9053.jpg , tp:   1.00, fp:  87.00, tp%: 0.01
img: n03982232_297.jpg  , tp:   1.00, fp:  77.00, tp%: 0.01
img: n02802426_13133.jpg, tp:   0.00, fp:  65.00, tp%: 0.00
img: n02802426_12868.jpg, tp:   0.00, fp:  98.00, tp%: 0.00
img: n03982232_4377.jpg , tp:   0.00, fp:  30.00, tp%: 0.00
img: n04540053_3229.jpg , tp:   0.00, fp:  52.00, tp%: 0.00
img: n04540053_13496.jpg, tp:   0.00, fp:  92.00, tp%: 0.00
img: n04540053_14217.jpg, tp:   1.00, fp:  29.00, tp%: 0.03
img: n02802426_8153.jpg , tp:   0.00, fp: 132.00, tp%: 0.00
img: n02802426_10109.jpg, tp:   0.00, fp:  42.00, tp%: 0.00
img: n02802426_8291.jpg , tp:   1.00, fp:  97.00, tp%: 0.01
img: n03742019_7852.jpg , tp:   0.00, fp:   7.00, tp%: 0.00
img: n03134739_6484.jpg , tp:   0.00, fp:  79.00, tp%: 0.00
img: n03134739_4339.jpg , tp:   1.00, fp:  36.00, tp%: 0.03
img: n03942813_5593.jpg , tp:   0.00, fp:  86.00, tp%: 0.00
